file_name,file_path,smiles,status,error
docked_0.pdbqt,/Users/stuytschaevers/Documents/Yale/spring2026/comp_proteomics/final_project/final_docking_files/test_ligands_docking_output/docked_0.pdbqt,[C][C][C]1[C][C]C(=O)N(C(=O)[C]OC(=O)c2[c][c][c]c([C])[c]2)[C]1,OK,
docked_1.pdbqt,/Users/stuytschaevers/Documents/Yale/spring2026/comp_proteomics/final_project/final_docking_files/test_ligands_docking_output/docked_1.pdbqt,[C][C][C]N1[C][C]N(C(=O)c2[c][c]c([C]NC(=O)c3c([C])[nH]c(=O)n([C])c3=O)[c][c]2)[C][C]1,OK,
docked_2.pdbqt,/Users/stuytschaevers/Documents/Yale/spring2026/comp_proteomics/final_project/final_docking_files/test_ligands_docking_output/docked_2.pdbqt,[C][C]Oc1[c][c]c(O[C])c([C]N2N=C(c3[c]c(C(=O)N4[C][C]N([C][C])[C][C]4)[c][c]c3[C])[C]C2=O)[c]1,OK,
docked_3.pdbqt,/Users/stuytschaevers/Documents/Yale/spring2026/comp_proteomics/final_project/final_docking_files/test_ligands_docking_output/docked_3.pdbqt,[C]c1oc2[c][c][c][c]c2c(=O)c1[C][C]c1[c][c][c]c(C(=O)N2[C][C][C][C]2)[c]1,OK,
docked_4.pdbqt,/Users/stuytschaevers/Documents/Yale/spring2026/comp_proteomics/final_project/final_docking_files/test_ligands_docking_output/docked_4.pdbqt,[C]O[C]C1=C([N]C(=O)[C]c2[c][c][c]c(N3C(=O)c4[c][c]c(O[C])[c]c4C3=O)[c]2)C(=O)N[C]1,OK,
docked_5.pdbqt,/Users/stuytschaevers/Documents/Yale/spring2026/comp_proteomics/final_project/final_docking_files/test_ligands_docking_output/docked_5.pdbqt,[C]O[C]N(C(=O)[C]c1[c][c]c([C])[c][c]1)C(=O)c1[c][c]c([C])c(F)[c]1,OK,
docked_6.pdbqt,/Users/stuytschaevers/Documents/Yale/spring2026/comp_proteomics/final_project/final_docking_files/test_ligands_docking_output/docked_6.pdbqt,[C][C]n1nc([C])c([C][C](C#N)c2[c][c][c]c(O[C])[c]2)c1O[C],OK,
docked_7.pdbqt,/Users/stuytschaevers/Documents/Yale/spring2026/comp_proteomics/final_project/final_docking_files/test_ligands_docking_output/docked_7.pdbqt,,FAIL,RDKit failed to parse
docked_8.pdbqt,/Users/stuytschaevers/Documents/Yale/spring2026/comp_proteomics/final_project/final_docking_files/test_ligands_docking_output/docked_8.pdbqt,[C][C]1N=[C][C]([C]N2C(=O)c3[c][c]c(C(=O)N4[C][C][C][C]4)[c]c3C2=O)N=C1O[C]C(=O)N1[C][C][C][C]1,OK,
docked_9.pdbqt,/Users/stuytschaevers/Documents/Yale/spring2026/comp_proteomics/final_project/final_docking_files/test_ligands_docking_output/docked_9.pdbqt,[C]Oc1[c][c][c]c(C2=C(N3[C][C]N(C(=O)Oc4[c]c5c([c]c4F)OC([C])([C])O5)[C][C]3)C(=O)N[C]2)[c]1,OK,
ligand_0.pdbqt,/Users/stuytschaevers/Documents/Yale/spring2026/comp_proteomics/final_project/final_docking_files/test_ligands_docking_output/ligand_0.pdbqt,[C][C][C]1[C][C]C(=O)N(C(=O)[C]OC(=O)c2[c][c][c]c([C])[c]2)[C]1,OK,
ligand_1.pdbqt,/Users/stuytschaevers/Documents/Yale/spring2026/comp_proteomics/final_project/final_docking_files/test_ligands_docking_output/ligand_1.pdbqt,[C][C][C]N1[C][C]N(C(=O)c2[c][c]c([C]NC(=O)c3c([C])[nH]c(=O)n([C])c3=O)[c][c]2)[C][C]1,OK,
ligand_2.pdbqt,/Users/stuytschaevers/Documents/Yale/spring2026/comp_proteomics/final_project/final_docking_files/test_ligands_docking_output/ligand_2.pdbqt,[C][C]Oc1[c][c]c(O[C])c([C]N2N=C(c3[c]c(C(=O)N4[C][C]N([C][C])[C][C]4)[c][c]c3[C])[C]C2=O)[c]1,OK,
ligand_3.pdbqt,/Users/stuytschaevers/Documents/Yale/spring2026/comp_proteomics/final_project/final_docking_files/test_ligands_docking_output/ligand_3.pdbqt,[C]c1oc2[c][c][c][c]c2c(=O)c1/[C]=[C]/c1[c][c][c]c(C(=O)N2[C][C][C][C]2)[c]1,OK,
ligand_4.pdbqt,/Users/stuytschaevers/Documents/Yale/spring2026/comp_proteomics/final_project/final_docking_files/test_ligands_docking_output/ligand_4.pdbqt,[C]O[C]C1=[C]NC(=O)/C1=N/C(=O)[C]c1[c][c][c]c(N2C(=O)c3[c][c]c(O[C])[c]c3C2=O)[c]1,OK,
ligand_5.pdbqt,/Users/stuytschaevers/Documents/Yale/spring2026/comp_proteomics/final_project/final_docking_files/test_ligands_docking_output/ligand_5.pdbqt,[C]O[C]N(C(=O)[C]c1[c][c]c([C])[c][c]1)C(=O)c1[c][c]c([C])c(F)[c]1,OK,
ligand_6.pdbqt,/Users/stuytschaevers/Documents/Yale/spring2026/comp_proteomics/final_project/final_docking_files/test_ligands_docking_output/ligand_6.pdbqt,[C][C]n1nc([C])c(/[C]=C(\C#N)c2[c][c][c]c(O[C])[c]2)c1O[C],OK,
ligand_7.pdbqt,/Users/stuytschaevers/Documents/Yale/spring2026/comp_proteomics/final_project/final_docking_files/test_ligands_docking_output/ligand_7.pdbqt,,FAIL,RDKit failed to parse
ligand_8.pdbqt,/Users/stuytschaevers/Documents/Yale/spring2026/comp_proteomics/final_project/final_docking_files/test_ligands_docking_output/ligand_8.pdbqt,[C][C]1N=[C][C]([C]N2C(=O)c3[c][c]c(C(=O)N4[C][C][C][C]4)[c]c3C2=O)N=C1O[C]C(=O)N1[C][C][C][C]1,OK,
ligand_9.pdbqt,/Users/stuytschaevers/Documents/Yale/spring2026/comp_proteomics/final_project/final_docking_files/test_ligands_docking_output/ligand_9.pdbqt,[C]Oc1[c][c][c]c(C2=C(N3[C][C]N(C(=O)Oc4[c]c5c([c]c4F)OC([C])([C])O5)[C][C]3)C(=O)N[C]2)[c]1,OK,
