canonical_smiles,affinity_nM
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cncc(-c4cn[nH]c4)c3)NC(=O)NC1=O)C2,0.03
COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3cc(F)c4c(=O)[nH][nH]c4c3)NC(=O)NC1=O)C2,0.03
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cc(F)c4c(=O)[nH][nH]c4c3)NC(=O)NC1=O)C2,0.0521
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-c4nc(-c5cnn(C)c5)ccc4O)cc3)NC(=O)NC1=O)C2,0.0524
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-c4nc(-c5ccncc5)ccc4O)cc3)NC(=O)NC1=O)C2,0.0556
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cncc(-c4cc[nH]n4)c3)NC(=O)NC1=O)C2,0.06
COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3ccc(-c4nc(-c5cnn(C)c5)ccc4O)c(F)c3)NC(=O)NC1=O)C2,0.0627
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(N=O)N4CCN(C5CCCCCC5)CC4)cc3)NC(=O)NC1=O)C2,0.063
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-c4nc(-c5cccnc5)ccc4O)cc3)NC(=O)NC1=O)C2,0.0651
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(N=O)N4CCN(C5CC5)CC4)cc3)NC(=O)NC1=O)C2,0.072
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-c4ncccc4O)cc3)NC(=O)NC1=O)C2,0.074
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-c4ncccc4OC(=O)C(C)(C)C)cc3)NC(=O)NC1=O)C2,0.0762
COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3ccc(-c4nc(-c5cccnc5)ccc4O)c(F)c3)NC(=O)NC1=O)C2,0.077
COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3ccc(-c4nc(-c5cccnc5)ccc4O)cc3)NC(=O)NC1=O)C2,0.0781
COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3ccc(-c4nc(N5CCC(=O)CC5)ccc4O)cc3)NC(=O)NC1=O)C2,0.0826
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(N=O)N4CCN(C)CC4)cc3)NC(=O)NC1=O)C2,0.083
CCN1CCN(c2ccc(O)c(-c3ccc(C#C[C@]4(CN5Cc6ccc(OC)cc6C5=O)NC(=O)NC4=O)cc3)n2)CC1,0.093
CCCCN1CCN(C(=NO)c2ccc(C#C[C@]3(CN4Cc5ccc(OC)cc5C4=O)NC(=O)NC3=O)cc2)CC1,0.093
COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3ccc(-c4nc(-c5cnn(C)c5)ccc4O)cc3)NC(=O)NC1=O)C2,0.0973
CCN1CCN(c2ccc(O)c(-c3ccc(C#C[C@]4(CN5Cc6ccc(OC)cc6C5=O)NC(=O)NC4=O)cc3F)n2)CC1,0.0988
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C4(C)NC(=O)NC4=O)cc3C)NC(=O)NC1=O)C2,0.1
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(N=O)N4CCN(C5CCCCC5)CC4)cc3)NC(=O)NC1=O)C2,0.11
COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3cccnc3)NC(=O)NC1=O)C2,0.11
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccccc3C=O)NC(=O)NC1=O)C2,0.11
CCC(=O)Oc1ccc(-c2cnn(C)c2)nc1-c1ccc(C#C[C@]2(CN3Cc4ccc(OC)cc4C3=O)NC(=O)NC2=O)cc1,0.115
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(N=O)N4CCCCC4)cc3)NC(=O)NC1=O)C2,0.12
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cccnc3-c3cn[nH]c3)NC(=O)NC1=O)C2,0.12
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(N4C(=O)CCC4C(=O)NC4CC4)cc3)NC(=O)NC1=O)C2,0.12
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(N=O)N4CCN(C)CC4)s3)NC(=O)NC1=O)C2,0.12
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(N=O)N4CCOCC4)cc3)NC(=O)NC1=O)C2,0.13
CCN1CCN(C(=O)C2CCC(=O)N2c2ccc(C#C[C@]3(CN4Cc5ccc(OC)cc5C4=O)NC(=O)NC3=O)cc2)CC1,0.13
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cncc(-c4csc(N)n4)c3)NC(=O)NC1=O)C2,0.15
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(N=O)N4CCN(c5ccccc5)CC4)cc3)NC(=O)NC1=O)C2,0.15
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cc(C(N)=O)ccc3C)NC(=O)NC1=O)C2,0.15
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(O)(O)C(F)(F)F)cc3)NC(=O)NC1=O)C2,0.16
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(N=O)N4CCSCC4)cc3)NC(=O)NC1=O)C2,0.16
CCN1CCN(C(N=O)c2ccc(C#C[C@]3(CN4Cc5ccc(OC)cc5C4=O)NC(=O)NC3=O)cc2)CC1,0.16
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C4(CN)NC(=O)NC4=O)cc3)NC(=O)NC1=O)C2,0.16
CCN1CCN(c2n[nH]c3cc(C#C[C@]4(CN5Cc6ccc(OC)cc6C5=O)NC(=O)NC4=O)ccc23)CC1,0.17
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(N=O)N4CCC(=O)CC4)cc3)NC(=O)NC1=O)C2,0.17
